mandelbrot ; 16.348266601562500000, 16.194763183593750000, 0.000000000000000000, 0.289184570312500000,  472.668 
mandelbrot ; 16.351562500000000000, 16.200988769531250000, 0.000000000000000000, 0.285156250000000000,  472.767 
reverse-complement ; 3.661376953125000000, 3.486450195312500000, 0.000000000000000000, 0.428283691406250000,  315.282 
reverse-complement ; 3.660400390625000000, 3.486389160156250000, 0.000000000000000000, 0.427673339843750000,  317.129 
reverse-complement ; 3.666442871093750000, 3.493225097656250000, 0.000000000000000000, 0.427124023437500000,  315.146 
reverse-complement ; 3.677917480468750000, 3.505737304687500000, 0.000000000000000000, 0.428527832031250000,  315.453 
reverse-complement ; 3.662292480468750000, 3.489379882812500000, 0.000000000000000000, 0.426574707031250000,  316.049 
reverse-complement ; 3.671936035156250000, 3.494018554687500000, 0.000000000000000000, 0.424865722656250000,  313.462 
reverse-complement ; 3.694335937500000000, 3.519409179687500000, 0.000000000000000000, 0.430114746093750000,  315.967 
reverse-complement ; 3.682495117187500000, 3.510925292968750000, 0.000000000000000000, 0.424011230468750000,  314.045 
reverse-complement ; 3.763427734375000000, 3.585998535156250000, 0.000000000000000000, 0.431396484375000000,  324.932 
reverse-complement ; 4.244079589843750000, 4.059326171875000000, 0.000000000000000000, 0.451477050781250000,  358.192 
fannkuch-redux ; 165.474243164062500000, 163.990539550781250000, 0.000000000000000000, 2.794738769531250000,  4882.94 
fannkuch-redux ; 166.610412597656250000, 165.135131835937500000, 0.000000000000000000, 2.794067382812500000,  4913.73 
fannkuch-redux ; 164.557312011718750000, 163.092041015625000000, 0.000000000000000000, 2.755920410156250000,  4854.34 
fannkuch-redux ; 165.851318359375000000, 164.363464355468750000, 0.000000000000000000, 2.780212402343750000,  4901.46 
fannkuch-redux ; 165.753906250000000000, 164.279113769531250000, 0.000000000000000000, 2.774963378906250000,  4884.18 
fannkuch-redux ; 168.571166992187500000, 167.053283691406250000, 0.000000000000000000, 2.856872558593750000,  4976.01 
fannkuch-redux ; 165.470703125000000000, 163.982849121093750000, 0.000000000000000000, 2.771240234375000000,  4871.68 
fannkuch-redux ; 166.149780273437500000, 164.684631347656250000, 0.000000000000000000, 2.765014648437500000,  4875.5 
fannkuch-redux ; 166.519165039062500000, 165.046752929687500000, 0.000000000000000000, 2.774353027343750000,  4880.8 
fannkuch-redux ; 166.144409179687500000, 164.664245605468750000, 0.000000000000000000, 2.771789550781250000,  4878 
spectral-norm ; 5.716003417968750000, 5.641357421875000000, 0.000000000000000000, 0.125061035156250000,  218.254 
