pidigits ; 2645.319702148437500000, 2536.575927734375000000, 0.000000000000000000, 205.425292968750000000,  361544 
pidigits ; 2630.580261230468750000, 2521.814453125000000000, 0.000000000000000000, 205.494079589843750000,  361691 
pidigits ; 2620.768554687500000000, 2512.048339843750000000, 0.000000000000000000, 205.382446289062500000,  361517 
pidigits ; 2654.680847167968750000, 2545.793029785156250000, 0.000000000000000000, 205.610656738281250000,  361815 
pidigits ; 2663.925537109375000000, 2555.152526855468750000, 0.000000000000000000, 205.487731933593750000,  361674 
n-body ; 2170.126708984375000000, 2085.111938476562500000, 0.000000000000000000, 160.293823242187500000,  282364 
n-body ; 2128.649414062500000000, 2044.851318359375000000, 0.000000000000000000, 158.108093261718750000,  278475 
n-body ; 2189.121826171875000000, 2103.677978515625000000, 0.000000000000000000, 161.155090332031250000,  283857 
n-body ; 2197.820983886718750000, 2111.843200683593750000, 0.000000000000000000, 162.125793457031250000,  285596 
n-body ; 2220.845153808593750000, 2133.681030273437500000, 0.000000000000000000, 164.434936523437500000,  289621 
n-body ; 2100.683471679687500000, 2016.704772949218750000, 0.000000000000000000, 158.533264160156250000,  279272 
n-body ; 2151.381774902343750000, 2065.471252441406250000, 0.000000000000000000, 162.194152832031250000,  285719 
n-body ; 2101.894226074218750000, 2017.836486816406250000, 0.000000000000000000, 158.710205078125000000,  279580 
n-body ; 2135.125549316406250000, 2051.039001464843750000, 0.000000000000000000, 158.637695312500000000,  279453 
n-body ; 2219.691650390625000000, 2127.959777832031250000, 0.000000000000000000, 172.343078613281250000,  303657 
